식별번호,시장명,시장유형,소재지도로명주소,소재지지번주소,위도,경도
10007,월성청구시장,상설장,대구광역시 달서구 학산로 17,,35.82753061,128.5311036
10008,농공중앙시장,상설장,대구광역시 달성군 논공읍 용호로2길 12,대구광역시 달성군 논공읍 북리 824-26,35.72838683,128.4465912
10008,현풍백년도깨비시장,5일장,대구광역시 달성군 현풍읍 현풍로 6길 5,대구광역시 달성군 현풍읍 원교리 12-5,35.69476056,128.4422285
10008,화원시장,상설장+5일장,대구광역시 달성군 화원읍 화원읍 비슬로512길 66,대구광역시 달성군 화원읍 천내리 892-1,35.8012922,128.4990942
10002,동대구역전시장,상설장,대구광역시 동구 동부로 16길 18,대구광역시 동구 신천동 278,35.87430058,128.6205677
10002,송라시장,상설장,대구광역시 동구 동부로5길 10,대구광역시 동구 신천동 537-13,35.87448539,128.6153112
10002,방촌시장,상설장,대구광역시 동구 동촌로46길 2,대구광역시 동구 방촌동 1067-2,35.88130152,128.6644272
10002,불로전통시장,5일장,대구광역시 동구 반야월로1길 7,대구광역시 동구 불로동 449-1,35.87461007,128.6889732
10002,반야월목련시장,상설장,대구광역시 동구 반야월로30길 61-1,대구광역시 동구 신기동 271-2,35.86998236,128.7046611
10002,동서시장,상설장,대구광역시 동구 아양로 37길51-1,대구광역시 동구 신암동 94-14,35.88820415,128.6333701
10002,평화시장,상설장,대구광역시 동구 아양로 9길 6-6,대구광역시 동구 신암동 597-14,35.88259978,128.6193995
10002,반야월종합시장,상설장+5일장,대구광역시 동구 율하동로 143,대구광역시 동구 신기동 174-1,35.87240606,128.7024484
10002,공항시장,상설장,대구광역시 동구 해동로3길 6,대구광역시 동구 지저동 694-41,35.89639261,128.6382422
10002,동구시장,상설장,대구광역시 동구 효목로 8동 구시장 A동,대구광역시 동구 효목동 533,35.87405461,128.6395728
10005,산격종합시장,상설장,대구광역시 북구 대동로1길 34,대구광역시 북구 산격동 1258,35.89863699,128.6103517
10005,동대구 신시장,상설장,대구광역시 북구 대현로 100,대구광역시 북구 대현동 270-8,35.88219144,128.6097908
10005,동대구시장,상설장,대구광역시 북구 대현로20길 30,대구광역시 북구 대현동 390,35.88107854,128.6090909
10005,산업용재관(대구기계공구상협동조합),상설장,대구광역시 북구 유통단지로 16,대구광역시 북구 산격동 1629,35.90496577,128.6063956
10005,대구 전자관,상설장,대구광역시 북구 유통단지로 45 전자관,대구광역시 북구 산격동 1621,35.90720316,128.6070187
10005,대구종합유통단지섬유제품관,상설장,대구광역시 북구 유통단지로 60,대구광역시 북구 산격동 1667,35.90627923,128.6096611
10005,전자상가,상설장,대구광역시 북구 유통단지로25,대구광역시 북구 산격동 1626,35.90545705,128.604982
10005,전기조명관,상설장,대구광역시 북구 유통단지로50,대구광역시 북구 산격2동 1666,35.90569603,128.6082752
10005,전기재료관,상설장,대구광역시 북구 유흥단지로 38 산격동,대구광역시 북구 산격동 1665,35.9050606,128.6077132
10005,칠곡시장,상설장+5일장,대구광역시 북구 칠곡중앙대로526,대구광역시 북구 읍내동 1201-1,35.94252496,128.551221
10005,대구능금시장,상설장,대구광역시 북구 칠성남로 197-15,대구광역시 북구 칠성동1가 234-9,35.87714991,128.6019681
10005,칠성시장,상설장,대구광역시 북구 칠성남로 229,대구광역시 북구 칠성동1가 276-163,35.87631033,128.605429
10005,칠성상가시장,상설장,대구광역시 북구 칠성남로 230,대구광역시 북구 칠성동1가 150-1,35.87561087,128.6053141
10005,칠성본시장,상설장,대구광역시 북구 칠성시장로 15-1,대구광역시 북구 칠성동1가 97-1,35.87551494,128.60438
10005,칠성진 경명시장,상설장,대구광역시 북구 칠성시장로 19,대구광역시 북구 칠성동1가 89,35.87571938,128.6040649
10005,대구청과시장,상설장,대구광역시 북구 칠성시장로 34,대구광역시 북구 칠성동1가 276-102,35.87702959,128.6039134
10005,삼성시장,상설장,대구광역시 북구 칠성시장로 42,대구광역시 북구 칠성동1가 276-108,35.8778191,128.6034802
10005,칠성전자주방시장,상설장,대구광역시 북구 칠성시장로 73-1,대구광역시 북구 칠성동2가 409-71,35.88023367,128.6015513
10005,태전중앙시장,상설장,대구광역시 북구 태전로 15,대구광역시 북구 태전동 156-1,35.92166388,128.5449078
10005,팔달신시장,상설장,대구광역시 북구 팔달로33길5-9,대구광역시 북구 노원동3가,35.8892023,128.5679272
10005,서면중앙시장,5일장,대구광역시 북구 호국로43길27,대구광역시 북구 서변동 1751,35.92100345,128.596176
10003,신평리시장,상설장,대구광역시 서구 국채보상로 52길 33,대구광역시 서구 평리동 1205,35.86809861,128.5606859
10003,서구시장,상설장,대구광역시 서구 국채보상로45길 33,대구광역시 서구 평리3동 1085-1,35.87393762,128.5556896
10003,새일시장,상설장,대구광역시 서구 달서로 17-7,대구광역시 서구 내당2 3동 968-7,35.86372514,128.5713791
10003,서부시장,상설장,대구광역시 서구 달서로 26길 7-2,대구광역시 서구 비산동 434-13,35.87330956,128.5720469
10003,원대 신시장,상설장,대구광역시 서구 달서로 54길 6,대구광역시 서구 원대동3가 1434-4,35.88553463,128.5748006
10003,이현시장,상설장,대구광역시 서구 문화로 33길24,대구광역시 서구 평리동 606-8,35.87695054,128.5506362
10003,대평리시장,상설장,대구광역시 서구 문화로49길 25,대구광역시 서구 평리동676-7,35.87801117,128.5589346
10003,중평시장,상설장,대구광역시 서구 서대구로 17길16,대구광역시 서구 평리동 1437-5,35.86537086,128.5539071
10003,원고개시장,상설장,대구광역시 서구 통학로46길 48,대구광역시 서구 비산동 566-2,35.88028036,128.5682981
10006,수산시장,상설장,대구광역시 수성구 들안로 285-56 수성동2가,대구광역시 수성구 수성2가 39-3,35.85565487,128.6170064
10006,청구시장,상설장,대구광역시 수성구 만촌로 66 만촌동,대구광역시 수성구 만촌동 984-1,35.86485353,128.6440771
10006,대구 신매시장,상설장,대구광역시 수성구 신매로16길 24-4 신매동,대구광역시 수성구 신매동576-2,35.83727992,128.7097215
10006,지산목련시장,상설장,대구광역시 수성구 용학로42길 9 지산동,대구광역시 수성구 지산동 1199-10,35.82079684,128.631863
10006,황금시장,상설장,대구광역시 수성구 청솔로 19 황금동,대구광역시 수성구 황금동 746,35.84839977,128.6199562
